muon_pt,muon_eta,muon_phi,antimuon_pt,antimuon_eta,antimuon_phi,delta_eta,delta_phi,delta_R,label
25.073029,-2.7231236,-1.792371,26.519112,-0.38734135,1.2402595,2.3357823,3.0326304,3.8278878,1
45.55775,2.0435987,-2.0314674,37.155167,2.9511352,1.1958506,0.9075365,3.0558674,3.187781,1
55.63841,3.7478383,0.3411647,37.994595,3.4389474,-2.3810778,0.30889082,2.7222426,2.7397115,1
36.996323,4.317244,-1.073982,52.172073,4.273551,1.7995971,0.043693066,2.873579,2.8739114,1
41.418056,-0.12211648,-1.6974294,45.007275,-0.72737896,1.5630728,0.6052625,3.0226834,3.0826867,1
31.340557,-2.2986534,1.7563448,33.135696,0.0058095227,-1.0457618,2.304463,2.8021066,3.6279955,0
31.051765,-1.8926804,0.10978594,54.706768,-2.2670858,2.8718457,0.37440538,2.7620597,2.7873201,1
43.27489,-2.3766983,-2.072542,44.50399,-2.8621733,1.0405885,0.48547506,3.1131306,3.1507568,1
47.44316,2.6629486,2.5191617,42.518974,3.5687816,0.38883942,0.905833,2.1303222,2.3149095,1
48.66985,1.2626597,2.2473857,36.42243,1.8308765,-0.74399394,0.5682168,2.99138,3.0448685,1
33.439926,-0.47517496,0.23053877,48.48196,0.59078825,-2.8794727,1.0659633,3.1100113,3.2876205,1
25.930695,-1.9214392,-0.6318722,25.02058,-4.266121,2.4111845,2.3446817,3.0430567,3.8415787,1
28.198414,-1.7236968,-2.6825008,65.7382,-2.6049356,-0.14096905,0.8812388,2.5415318,2.689975,1
46.67492,3.6585226,1.96352,40.025734,3.9442034,-1.239139,0.28568077,3.0805266,3.093745,1
38.648758,-0.5956981,-0.7168587,36.099792,0.5641383,2.3950915,1.1598364,3.1119502,3.3210623,1
41.008274,-3.2798107,-0.7130889,40.017036,-4.0997357,2.3191402,0.81992507,3.0322292,3.141129,1
38.95218,1.1026151,-0.03152598,36.223396,2.4286284,-2.9916859,1.3260133,2.9601595,3.2435868,1
38.933544,-0.19893393,-0.027381888,51.456177,0.3585875,2.9411843,0.55752146,2.9685662,3.020466,1
32.03862,2.3245125,-0.3284021,30.278538,0.42998376,2.8105361,1.8945287,3.1389382,3.6663568,1
42.16195,3.6722982,-3.0900784,45.158855,2.9879165,0.026915746,0.6843817,3.1169941,3.1912427,1
34.868652,-3.5480192,-0.10023798,43.118988,-4.7164116,3.0383599,1.1683924,3.138598,3.3490205,1
33.59788,1.3101562,0.034495246,30.453089,3.1418252,2.7859845,1.831669,2.7514892,3.3054054,1
37.26882,0.12061334,-0.61368966,34.79553,-1.3449185,2.5020304,1.4655318,3.11572,3.4431808,1
43.19063,-1.7419131,1.0386497,45.190342,-1.6735404,-2.0738,0.06837273,3.11245,3.113201,1
35.352936,-1.9695832,0.3066258,103.27929,-2.611594,1.8582461,0.6420108,1.5516202,1.6791972,1
47.480984,-2.4321747,2.267479,45.854576,-2.3825166,-0.22030272,0.04965806,2.4877818,2.4882774,1
53.301643,-2.8364747,-1.3570561,39.286552,-2.4191496,1.3214937,0.41732502,2.6785498,2.710865,1
49.860756,4.0804605,-0.17813952,38.952377,3.521088,2.8708096,0.55937266,3.048949,3.0998368,1
46.693188,-0.64998215,1.4782226,76.436264,-0.696935,-0.8996661,0.046952844,2.377889,2.3783524,0
40.403454,2.0479577,1.5603386,41.557594,2.9728951,-1.5537995,0.9249375,3.114138,3.2485943,1
29.642565,-1.0359137,-0.48658815,30.438576,-2.973525,2.826282,1.9376113,2.9703152,3.5464222,1
45.23555,2.6449337,-0.122339495,41.94973,3.069686,3.1318772,0.42475224,3.028969,3.0586054,1
56.635365,-0.46673423,2.7161708,34.74253,-0.5339461,-0.054121923,0.06721187,2.7702925,2.7711077,1
40.486332,2.3393478,-1.3406936,44.226704,3.111045,1.709243,0.77169704,3.0499368,3.14605,1
35.454967,-0.9380585,-0.65435976,34.989616,-1.0006,-1.6727376,0.062541485,1.0183775,1.0202962,0
37.64447,-4.0681677,-0.89023006,44.486916,-3.903744,2.2219222,0.1644237,3.112152,3.1164925,1
63.283005,-3.0785818,-0.4598035,31.478167,-2.3019817,2.025854,0.7766001,2.4856577,2.604151,1
56.242104,-3.962071,2.4436777,38.2293,-4.4302278,-1.1822821,0.4681568,2.6572258,2.698151,1
37.144436,-0.8754283,-0.29062536,39.402317,0.3487694,2.8869867,1.2241977,3.1055734,3.3381503,1
56.782444,1.002769,0.33759576,31.894485,-0.04192446,-2.5513635,1.0446935,2.8889592,3.0720465,1
48.737633,-0.022482486,-1.9904767,26.496998,0.88137776,0.91335887,0.9038603,2.9038355,3.0412536,0
31.068281,2.5311162,-1.7902733,39.800896,1.3224628,1.2693654,1.2086535,3.0596387,3.2897162,1
33.05104,-1.210229,-0.9758215,48.23442,-0.2261757,2.1208208,0.9840534,3.0966423,3.249239,1
61.16738,3.7883263,1.5715028,29.425198,2.7681015,-0.7164449,1.0202248,2.287948,2.5051076,1
44.702297,-3.2272978,-2.3651795,43.40579,-2.598892,0.7462092,0.6284058,3.1113887,3.174214,1
42.058323,4.5463448,0.9851262,43.799694,3.9567091,-2.0555773,0.5896356,3.0407035,3.0973454,1
35.00611,0.7549797,-1.6008537,46.328953,1.7691904,1.4392176,1.0142107,3.0400712,3.2047865,1
37.287426,-2.161137,1.4823358,54.24232,-2.431379,-1.8488771,0.27024198,2.9519722,2.9643161,1
49.43871,0.4973991,-0.9985641,42.77943,0.30645326,2.15304,0.19094583,3.1315815,3.1373975,1
32.961983,4.0286155,-0.17932212,50.992336,3.322456,2.6798325,0.7061596,2.8591547,2.9450681,1
51.93794,-0.55466145,-0.9883792,36.48953,0.013969577,2.2367368,0.56863105,3.0580695,3.110487,1
35.454983,0.120721966,0.48506325,28.196903,-1.7321833,-2.7363214,1.8529053,3.0618007,3.57881,1
46.065807,-2.9449995,1.0169107,38.25182,-2.150278,-1.9999701,0.79472136,3.0168808,3.1197999,1
31.938906,1.6608748,-0.57577914,30.671396,-0.22609223,2.6326494,1.8869671,3.0747569,3.6075995,1
41.539722,3.1262438,1.5213178,51.970825,3.4167786,-1.9015872,0.29053473,2.8602803,2.874998,1
37.099663,2.6967003,-2.0613298,43.813316,3.5916052,1.1098821,0.89490485,3.1119735,3.2380912,1
44.195366,2.6216588,-0.1316908,46.12546,2.8341665,3.0069504,0.21250772,3.138641,3.145827,1
44.330593,-2.3244255,3.0397034,40.22508,-3.0169888,-0.21095993,0.6925633,3.0325224,3.1106007,1
54.814766,-1.2498747,0.6403853,37.011364,-1.6540011,-2.4408057,0.4041264,3.0811913,3.107581,1
33.903645,-3.3040597,-2.7003994,59.301205,-2.8945599,0.04459573,0.40949988,2.744995,2.7753718,1
43.692314,-2.024761,-2.6863408,37.646732,-1.0157776,0.14864756,1.0089834,2.8349884,3.009187,1
